Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-19,Nasdaq PHLX (X),3810974,416285,1949671532.000000,33365,14196,172144667.000000,3844339,430481,2121816199.000000
2025-05-19,Cboe BZX Options Exchange (Z),1695992,244521,600883534.000000,942,262,3880226.000000,1696934,244783,604763760.000000
2025-05-16,NYSE American Options (A),2835371,302452,878830376.000000,0,0,0.000000,2835371,302452,878830376.000000
2025-05-16,BOX Options (B),3367734,384357,1577788945.000000,0,0,0.000000,3367734,384357,1577788945.000000
2025-05-16,Cboe Options Exchange (C),5373179,853033,2072428430.000000,4229296,904132,16011376631.000000,9602475,1757165,18083805061.000000
2025-05-16,MIAX Emerald (D),2569672,444741,746075687.000000,0,0,0.000000,2569672,444741,746075687.000000
2025-05-16,Cboe EDGX Options Exchange (E),4557855,616501,1080401808.000000,0,0,0.000000,4557855,616501,1080401808.000000
2025-05-16,Nasdaq GEMX (H),2022444,242172,468807166.000000,2198,779,121553218.000000,2024642,242951,590360384.000000
2025-05-16,Nasdaq ISE (I),4207836,577052,1822512840.500000,39033,12679,246622887.000000,4246869,589731,2069135727.500000
2025-05-16,Nasdaq MRX (J),1836927,251122,473723508.000000,0,0,0.000000,1836927,251122,473723508.000000
2025-05-16,MIAX Options Exchange (M),4627962,753586,1315355268.000000,0,0,0.000000,4627962,753586,1315355268.000000
2025-05-16,NYSE Arca Options (N),6386021,876313,2937789283.000000,0,0,0.000000,6386021,876313,2937789283.000000
2025-05-16,MIAX Pearl (P),858872,112244,157246415.000000,0,0,0.000000,858872,112244,157246415.000000
2025-05-16,NASDAQ Options Market (Q),2593328,363149,754530237.000000,0,0,0.000000,2593328,363149,754530237.000000
2025-05-16,MIAX Sapphire (S),1931840,262886,533162440.000000,0,0,0.000000,1931840,262886,533162440.000000
2025-05-16,Nasdaq BX Options (T),993390,110651,159036060.000000,0,0,0.000000,993390,110651,159036060.000000
2025-05-16,Members Exchange (U),2059356,282168,490477091.000000,0,0,0.000000,2059356,282168,490477091.000000
2025-05-16,Cboe C2 Options Exchange (W),1990190,239812,502023813.000000,12197,2783,28472537.000000,2002387,242595,530496350.000000
2025-05-16,Nasdaq PHLX (X),4994825,486445,2370682493.250000,14867,4948,279542341.000000,5009692,491393,2650224834.250000
2025-05-16,Cboe BZX Options Exchange (Z),2247546,317128,698491909.500000,3732,588,22323655.000000,2251278,317716,720815564.500000
2025-05-15,NYSE American Options (A),2555692,277673,897908003.000000,0,0,0.000000,2555692,277673,897908003.000000
2025-05-15,BOX Options (B),5174128,358321,6624728599.000000,0,0,0.000000,5174128,358321,6624728599.000000
2025-05-15,Cboe Options Exchange (C),4709916,758194,2201028917.000000,4831263,971974,13746248608.000000,9541179,1730168,15947277525.000000
2025-05-15,MIAX Emerald (D),2430677,432972,757912536.000000,0,0,0.000000,2430677,432972,757912536.000000
2025-05-15,Cboe EDGX Options Exchange (E),3793062,559623,1096687251.000000,0,0,0.000000,3793062,559623,1096687251.000000
2025-05-15,Nasdaq GEMX (H),2010821,242170,484813965.000000,1997,1118,430851058.000000,2012818,243288,915665023.000000
2025-05-15,Nasdaq ISE (I),3499759,490935,2253570410.500000,44645,13617,763014755.000000,3544404,504552,3016585165.500000
2025-05-15,Nasdaq MRX (J),1706959,230859,494621051.000000,0,0,0.000000,1706959,230859,494621051.000000
